normal sentence,aggressive sentence
Xin nhường đi trước. Tôi xin đi sau. ,ngu học 
Thật là nhẹ nhõm.,3 que ngu học
anh cũng không biết,đánh chết cha mày h
Mãi keo,Miss xém cử nhân 
Tôi biết mình có thể trông cậy vào bạn mà.,VNPT dùng tốt mà anh em?
"Ngộ ngĩnh, dễ thương quá!",bùng khủ
Messiiiiiiiii,"Siuuuuuuuuuuu
"
Xa Thi Mạn trong vai Nhàn Phi,"Que mira, bobo"
Như trên,ngu vãi cặc
Phan ung cua tao,Miss 3 quốc tịch
Khi nào dẫn người yêu về,
Mừng tết đến vạn lộc đến nhà nhà ố nồ,bướng sú
Nhà bà nữ,đượng sú
Sao con nói dị,Sướng không em
Biết cái nơi gì mà,Súc vật
Bắt chước ai vậy con?,Ở đâu mà dâm đản dâm ơ vậy?
Cho mình order 1 ly capuchino không đường,địt con mẹ bắc kỳ
The masked singer,xàm lồn
Alice in borderland,Emily in Paris
"Sắc dục là xiềng xích của đời này, chúng ta say đắm, không thể tự cứu. 

Sắc dục là bệnh nặng nhất của đời này, chúng ta khốn khổ, đến chết chẳng khỏi. 

Sắc dục là tai họa của đời này, chúng ta gặp phải, lâm nguy khó tránh.

Nữ sắc suy cho cùng cũng chỉ là da với thịt, máu mủ tanh hôi. Cái bẫy luân hồi đau khổ vô lượng kiếp, sa chân vào lục dục biết bao giờ mới thoát khỏi? Đừng vì thế mà sinh lòng lưu luyến","Hoa rơi cửa phật, một quật 500"
telegram,twitter
Tự mình làm thì tự mình chịu đi!,đậu thật lu
Bình tĩnh mọi người ơi,Dị hả
Nghe vui nhỉ,Tao cười sáng đêm tao khỏi ngủ
Đủ rồi đó! ,thèm bú l quá
Vui mà,sao mà hay ra vẻ quá
ét ô ét,địt mẹ thí chủ đéo chửi thề
Được rồi nha,Còn một tiếng nửa tao lấy gạch tao phan chết con gái mẹ mày
,mọi người đừng chửi nữa 
,hãy nghĩ tới hậu quả 
